pre,temp,sault,density
1199.3,3.282,34.389,27.37921203
1299.1,3.005,34.435,27.44186372
1398.9,2.791,34.464,27.48455553
4.6,20.989,35.018,24.51084747
9.2,20.991,35.018,24.51054234
14.2,20.995,35.018,24.50971422
19.4,20.994,35.019,24.51101743
24.5,20.996,35.019,24.51073846
29.3,20.991,35.019,24.51234704
34.5,20.991,35.019,24.51261706
39.6,20.996,35.019,24.51152282
44.2,21.002,35.019,24.51013071
49.2,21.007,35.018,24.5082699
54.1,21.006,35.019,24.50955797
59.2,21.003,35.019,24.51063878
64.4,21.003,35.019,24.51090924
69.4,21.005,35.019,24.51062572
74.5,21.007,35.018,24.50958612
79.3,21.008,35.019,24.5103255
89.5,21.007,35.019,24.5111283
99,21.008,35.018,24.51058988
109.5,20.996,35.016,24.51287393
119.6,19.825,34.888,24.72803165
129.4,18.569,34.819,24.99757557
139.1,18.182,34.811,25.08827501
149,17.855,34.797,25.15839935
159.3,17.668,34.789,25.19826311
169,17.519,34.773,25.22247564
179,17.238,34.751,25.27350325
189.3,17.164,34.774,25.30921964
199.4,17.081,34.778,25.33243677
209.4,16.955,34.772,25.35808117
218.9,16.846,34.76,25.37494781
229.5,16.769,34.754,25.38884558
239.6,16.658,34.744,25.4075401
249.2,16.513,34.73,25.43092381
259.4,16.384,34.717,25.45120013
269.1,16.27,34.706,25.4693846
279.2,16.133,34.692,25.49041166
289.2,16.037,34.683,25.50576659
299.5,15.853,34.668,25.53635381
309.3,15.733,34.657,25.5552986
319.5,15.573,34.645,25.58229062
329.1,15.308,34.624,25.62533093
339.4,15.202,34.615,25.64211565
349.2,14.985,34.598,25.67684691
359.4,14.798,34.583,25.70619675
369.4,14.59,34.568,25.73969581
379.4,14.391,34.553,25.77086123
389.4,14.166,34.538,25.80710192
398.9,14.002,34.525,25.83167405
429.4,13.208,34.468,25.95098251
459.4,12.517,34.418,26.04946668
489.2,11.652,34.355,26.16537864
519,10.825,34.295,26.26918182
549.5,10.108,34.239,26.35034119
578.9,9.205,34.17,26.44570175
609.6,8.758,34.168,26.5151062
639.4,7.872,34.124,26.61427743
669.2,7.298,34.096,26.67440363
699.2,6.464,34.064,26.76173943
729.2,5.712,34.061,26.85410524
759.1,5.528,34.08,26.89157883
789.3,5.416,34.103,26.9233824
819.1,5.191,34.117,26.96099953
